id,lon,lat,region,country,tce.10.20,tce.10.25,tce.20.25,tce.30.25,tce.10.30,tce.10.mean,tce.20.mean,tce.30.mean,cloud,albedo,lai,lai2,gdp,prec,solar,vpd,ws,mswx_prec,mswx_solar,mswx_vpd,mswx_ws,trend_lai,sd
26583,30.3270329242171,59.8894540161835,EE,Russia,0.137639436252594,0.165476951684508,0.0793895873502713,0.0516673036204237,0.193314467116422,0.101726204551955,0.0489144395023357,0.0318754335098007,0.57258361225,0.117417302954163,0.912937138125,0.96610644875,0.76375,305.32910515,167.900879125,0.42550170125,1.230297707,285.904927385892,165.670381126562,0.403540936154101,2.96881829282555,-0.005518895,6.206755617
26641,35.8838777376557,56.8560749075979,EE,Russia,0.166540762278208,0.200798461572727,0.0961284236734466,0.0624903842104129,0.235056160867247,0.127864132557316,0.0609470145681956,0.0395126287592158,0.5745697985,0.127483207100043,0.994956022375,1.04720623875,0.17725,376.47401675,161.7360166,0.51718042375,0.928695734,332.74672489083,174.374862221131,0.441571605066327,2.84121857824284,0.019769562,5.224241461
26661,36.595746503558,50.6067627873272,EE,Russia,0.150658094231284,0.171096095822967,0.0819776739349783,0.0533472144001571,0.191534097414651,0.137029405502007,0.0652820399844441,0.0423423354075341,0.47902273575,0.134880450722918,0.837576123125,0.8230508585,0.1905,310.24849265,189.477153575,0.80748249525,1.096728908,305.512244152047,195.601680510225,0.757216639936783,3.12708202544709,0.001755854,32.30427751
26704,37.6649675695415,55.7588344891857,EE,Russia,0.207155728261323,0.240662319558347,0.114117717479919,0.0737579990647329,0.274168910855371,0.169756923763512,0.0800080409641593,0.0515319294277377,0.5694904275,0.118595338929955,1.220356995375,1.16894519425,1.415,356.22844675,167.18230225,0.550540047,0.883390463,334.61989480198,175.569266451467,0.496363715432949,2.4680856629911,0.015541556,23.15858151
26712,37.5548790336825,55.435250372518,EE,Russia,0.210043286735912,0.248554032563572,0.116809410948922,0.0751161319351082,0.287064778391232,0.167531222213805,0.0783867099929863,0.0502809909992658,0.55198836125,0.133308221191446,1.0535660805,1.043746572,0.36825,378.721562425,171.529738525,0.562917358,0.89149308375,339.118918918919,183.043665313721,0.502766704252745,2.90643297272759,0.007505985,12.66162804
26725,37.6192885112516,54.1821499082388,EE,Russia,0.203223293121687,0.223020203085659,0.105457386162971,0.0680443286015667,0.242817113049631,0.182007227016014,0.0852589228400547,0.054842496764412,0.53594434075,0.127621989776959,1.013048112,0.97780377975,0.206,322.96522695,175.926784375,0.61271262275,1.0498409115,289.640455163043,185.375304408695,0.564655282263347,2.85228995557712,0.006292589,23.37077476
26732,37.7650855382107,44.7243640242837,EE,Russia,0.232121880405823,0.281716418438242,0.132299163953555,0.0850424133435415,0.331310956470661,0.225552319240509,0.105745455506184,0.0679016064115116,0.46629597475,0.138077640290175,0.844950920125,0.8152260745,0.1337,329.1510355,178.9236976,0.85270289575,1.4683005205,314.93708881579,222.604973040129,0.780025691819843,3.71281619683692,0.005541411,64.77768708
26860,38.8981743058056,47.2297346582044,EE,Russia,0.21305832796598,0.243100962565448,0.11532436793763,0.0745258237630337,0.273143597164916,0.210044271906244,0.0993889051062689,0.0641376001806245,0.501099995333333,0.122930284383504,0.823306039166667,0.739898172333333,0.043,245.893684833333,210.889743233333,0.928679618666667,1.89252805233333,267.50623885918,216.84443732549,0.873697460259244,4.00765001795084,-0.013596956,14.9888153
26879,39.0163494218837,45.0528792187341,EE,Russia,0.136541768045278,0.166090390431936,0.0795159337598992,0.0516890287525103,0.195639012818595,0.137113600201171,0.0657437124219747,0.0427781580614371,0.47773815325,0.128235021205344,0.66605845725,0.6337107495,0.1755,302.852343825,207.621065125,1.04062306425,1.53576217625,312.615730246114,206.410077920232,0.922745394160878,3.25020433877416,0.002010024,5.427754682
26953,39.5626138398674,52.6163969000852,EE,Russia,0.128270947583024,0.151092445450618,0.0728820766053847,0.0475846592491829,0.173913943318213,0.108009532147986,0.0520725920003953,0.03397916633315,0.50825537925,0.127310016240635,0.8173582155,0.80437046925,0.293,288.549247425,183.111495575,0.753022248,1.1467995905,268.839087041885,188.832699361272,0.661492187587192,3.00716623835539,-0.010075868,23.97874635
26975,39.7294310422399,47.2475312976705,EE,Russia,0.171531306434379,0.197484789557027,0.0939173359352338,0.0608282171812967,0.223438272679675,0.170481649392719,0.0807718559073995,0.0522244753872805,0.43230697025,0.126619902057795,0.837918357875,0.82673083825,0.19325,260.971199025,212.60913495,1.11345741875,1.58289848425,266.281873686975,215.809520200521,0.991331464556492,3.08494725222347,-0.004493271,27.03724769
26979,39.8287396208269,57.6354213167393,EE,Russia,0.106441258376388,0.113504734761601,0.0552663304484672,0.0362778277862071,0.120568211146814,0.0995363211421554,0.0480861656069022,0.0314201373140291,0.548429662333333,0.119106742450437,0.8428336405,0.849230217333333,0.248666666666667,358.301599933333,161.902205933333,0.484917874666667,1.01985719,305.658745659722,171.667188962301,0.429408181324079,3.10250284605556,0.003649826,13.76260672
27052,40.2459175623465,47.7030886779277,EE,Russia,0.142066954780407,0.16973182588935,0.0814019759951964,0.0529746098287476,0.197396696998293,0.136039231136537,0.0651094138767995,0.0423224127636567,0.44069059825,0.125734336833314,0.857137932625,0.6979128275,0.0914,262.422562975,209.82575295,1.11428358575,1.51298591875,257.686135371179,211.708357148816,0.988686828717524,3.58072917195907,-0.005821195,27.35730974
27109,40.9782691452661,56.9999721338839,EE,Russia,0.0759514446133852,0.0950206019735499,0.0464612125064037,0.0305727964970684,0.114089759333715,0.054270073926052,0.0264693164151525,0.0173926286287805,0.534744261,0.127552823537761,0.945842673,0.837605106,0.079,320.837168866667,169.662618066667,0.529425554,0.786035210333333,281.389919941776,178.61256868454,0.45296718055961,2.79862930611579,0.017837037,6.576159327
27146,41.4291311078978,52.7058390833209,EE,Russia,0.17014478141972,0.200652562913617,0.0957734503690238,0.0621513307437506,0.231160344407513,0.14701875038665,0.0698291435412495,0.045190053768717,0.49355058075,0.126522719705383,0.79170682275,0.753164177,0.12475,314.418097675,188.98992515,0.77447809525,0.93382906175,277.113469251337,196.376949371501,0.711944139352479,3.04563559026004,-0.005681459,17.40616638
27181,41.9725683883855,45.0359068132535,EE,Russia,0.227109348110984,0.256401819057767,0.120650657578944,0.0776396051527157,0.285694290004551,0.217441971715502,0.101501971392673,0.0650571490682429,0.4852083615,0.13214920155771,1.452184440375,1.26050423675,0.208,385.300426275,213.318333825,0.88414758675,1.49896714075,321.218198529412,212.009285377054,0.813266299348367,3.41896449467715,-0.002992151,69.72211084
27196,42.1833144727237,47.5199786003891,EE,Russia,0.18997826632659,0.227973553004657,0.10809456764664,0.0698671505324782,0.265968839682724,0.183231795486695,0.0869145883326148,0.0561911212236543,0.48499982275,0.140511902572702,0.682830314375,0.614063577,0.064275,300.9718045,196.36365625,0.99508188525,1.80204887025,271.392590408805,200.287158006392,0.94702570790752,4.16927077372869,0.000956,11.91711095
27279,43.6372378019923,43.5018258797644,EE,Russia,0.132232992139746,0.165186369378845,0.0794688546826611,0.0518049735054911,0.198139746617943,0.103950725805775,0.0503034533754403,0.0329053917783776,0.61361689725,0.134635217202285,0.89190676475,0.76311679075,0.0484,694.235212825,182.27881635,0.52096780325,0.34199186025,483.365193965517,175.823906050057,0.497029552696518,1.26829844918744,0.009582418,43.76136349
